,stage1-step3000,stage1-step5000,stage1-step7000,stage1-step9000,stage1-step10000,stage1-step15000,stage1-step20000,stage1-step30000,stage1-step50000,stage1-step99000,stage1-step297000,stage1-step707000,stage1-step1413814,stage2-step47684,stage3-step11921,main
stage1-step3000,1.0000007152557373,0.2912406027317047,0.27211442589759827,0.32682645320892334,0.2989993095397949,0.2412356436252594,0.24051377177238464,0.19810892641544342,0.19885873794555664,0.1509564071893692,0.13222938776016235,0.09954182803630829,0.07765540480613708,0.0747872069478035,0.08200646191835403,0.08419681340456009
stage1-step5000,0.2912406027317047,1.0000003576278687,0.5574529767036438,0.47721147537231445,0.5591740608215332,0.4176709055900574,0.4371378421783447,0.37994977831840515,0.328713595867157,0.30987218022346497,0.27035194635391235,0.19750961661338806,0.16257837414741516,0.14189837872982025,0.18209004402160645,0.1761442869901657
stage1-step7000,0.27211442589759827,0.5574529767036438,1.0000005960464478,0.6278023719787598,0.7113968133926392,0.6305769085884094,0.6396989226341248,0.5797394514083862,0.48810020089149475,0.45145565271377563,0.3679828643798828,0.2650286853313446,0.21121208369731903,0.2177169919013977,0.24393588304519653,0.2481561303138733
stage1-step9000,0.32682645320892334,0.47721147537231445,0.6278023719787598,1.0000004768371582,0.7483062148094177,0.7049415707588196,0.6530641317367554,0.6273146867752075,0.5092328786849976,0.5339106321334839,0.3773001730442047,0.3154147267341614,0.26325273513793945,0.25432127714157104,0.2746751606464386,0.2688145339488983
stage1-step10000,0.2989993095397949,0.5591740608215332,0.7113968133926392,0.7483062148094177,1.0000007152557373,0.7443896532058716,0.7245315313339233,0.6484498381614685,0.5560296773910522,0.5424691438674927,0.41245797276496887,0.32424071431159973,0.2788214087486267,0.26913583278656006,0.3072989583015442,0.297468900680542
stage1-step15000,0.2412356436252594,0.4176709055900574,0.6305769085884094,0.7049415707588196,0.7443896532058716,1.0000004768371582,0.7370331883430481,0.7513211369514465,0.5709782242774963,0.6295439600944519,0.42076700925827026,0.34686583280563354,0.2662239074707031,0.2585552930831909,0.28212398290634155,0.28623533248901367
stage1-step20000,0.24051377177238464,0.4371378421783447,0.6396989226341248,0.6530641317367554,0.7245315313339233,0.7370331883430481,1.0000005960464478,0.8030940294265747,0.7129271030426025,0.656851053237915,0.5243755578994751,0.43085506558418274,0.371176540851593,0.36398419737815857,0.3880312442779541,0.39103779196739197
stage1-step30000,0.19810892641544342,0.37994977831840515,0.5797394514083862,0.6273146867752075,0.6484498381614685,0.7513211369514465,0.8030940294265747,1.0000005960464478,0.7678822875022888,0.73082435131073,0.5343322157859802,0.45439356565475464,0.3878838121891022,0.38468486070632935,0.3946439325809479,0.3996671140193939
stage1-step50000,0.19885873794555664,0.328713595867157,0.48810020089149475,0.5092328786849976,0.5560296773910522,0.5709782242774963,0.7129271030426025,0.7678822875022888,1.0000005960464478,0.747556746006012,0.643501341342926,0.5219846963882446,0.4821194112300873,0.4871103763580322,0.4802568554878235,0.48015472292900085
stage1-step99000,0.1509564071893692,0.30987218022346497,0.45145565271377563,0.5339106321334839,0.5424691438674927,0.6295439600944519,0.656851053237915,0.73082435131073,0.747556746006012,1.0000005960464478,0.6912887692451477,0.6004589200019836,0.5091659426689148,0.5192852020263672,0.5249081254005432,0.5283070802688599
stage1-step297000,0.13222938776016235,0.27035194635391235,0.3679828643798828,0.3773001730442047,0.41245797276496887,0.42076700925827026,0.5243755578994751,0.5343322157859802,0.643501341342926,0.6912887692451477,1.0000007152557373,0.7548109292984009,0.719690203666687,0.6997352838516235,0.7065934538841248,0.7009627819061279
stage1-step707000,0.09954182803630829,0.19750961661338806,0.2650286853313446,0.3154147267341614,0.32424071431159973,0.34686583280563354,0.43085506558418274,0.45439356565475464,0.5219846963882446,0.6004589200019836,0.7548109292984009,1.0000005960464478,0.8546645641326904,0.8167320489883423,0.8115073442459106,0.810776948928833
stage1-step1413814,0.07765540480613708,0.16257837414741516,0.21121208369731903,0.26325273513793945,0.2788214087486267,0.2662239074707031,0.371176540851593,0.3878838121891022,0.4821194112300873,0.5091659426689148,0.719690203666687,0.8546645641326904,1.0000007152557373,0.8713600635528564,0.8636754751205444,0.8527582883834839
stage2-step47684,0.0747872069478035,0.14189837872982025,0.2177169919013977,0.25432127714157104,0.26913583278656006,0.2585552930831909,0.36398419737815857,0.38468486070632935,0.4871103763580322,0.5192852020263672,0.6997352838516235,0.8167320489883423,0.8713600635528564,1.0000004768371582,0.91483074426651,0.9107926487922668
stage3-step11921,0.08200646191835403,0.18209004402160645,0.24393588304519653,0.2746751606464386,0.3072989583015442,0.28212398290634155,0.3880312442779541,0.3946439325809479,0.4802568554878235,0.5249081254005432,0.7065934538841248,0.8115073442459106,0.8636754751205444,0.91483074426651,1.0000004768371582,0.9748644828796387
main,0.08419681340456009,0.1761442869901657,0.2481561303138733,0.2688145339488983,0.297468900680542,0.28623533248901367,0.39103779196739197,0.3996671140193939,0.48015472292900085,0.5283070802688599,0.7009627819061279,0.810776948928833,0.8527582883834839,0.9107926487922668,0.9748644828796387,1.0000004768371582
