extract_revision,eval_revision,layer,activation_norm,norm_ratio,target_norm,vector_path,output_path,norm_file
stage1-step10000,stage1-step10000,16,206.71875,0.1,20.671875,data/persona_vectors/Olmo-3-1025-7B/stage1-step10000/evil_combined_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/stage1-step10000/stage1-step10000/steering_results_combined_to_combined_norm_calibrated.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step10000_norms.csv
stage1-step5000,stage1-step5000,16,266.425,0.5,133.2125,data/persona_vectors/Olmo-3-1025-7B/stage1-step5000/evil_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/stage1-step5000/stage1-step5000/steering_results_character_to_character_norm_calibrated.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step5000_norms.csv
stage1-step5000,stage1-step7000,16,237.21875,0.5,118.609375,data/persona_vectors/Olmo-3-1025-7B/stage1-step5000/evil_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/stage1-step7000/stage1-step5000/steering_results_character_to_character_norm_calibrated.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step7000_norms.csv
stage1-step5000,stage1-step9000,16,214.49375,0.5,107.246875,data/persona_vectors/Olmo-3-1025-7B/stage1-step5000/evil_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/stage1-step9000/stage1-step5000/steering_results_character_to_character_norm_calibrated.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step9000_norms.csv
stage1-step7000,stage1-step5000,16,266.425,0.5,133.2125,data/persona_vectors/Olmo-3-1025-7B/stage1-step7000/evil_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/stage1-step5000/stage1-step7000/steering_results_character_to_character_norm_calibrated.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step5000_norms.csv
stage1-step7000,stage1-step7000,16,237.21875,0.5,118.609375,data/persona_vectors/Olmo-3-1025-7B/stage1-step7000/evil_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/stage1-step7000/stage1-step7000/steering_results_character_to_character_norm_calibrated.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step7000_norms.csv
stage1-step7000,stage1-step9000,16,214.49375,0.5,107.246875,data/persona_vectors/Olmo-3-1025-7B/stage1-step7000/evil_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/stage1-step9000/stage1-step7000/steering_results_character_to_character_norm_calibrated.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step9000_norms.csv
stage1-step9000,stage1-step5000,16,266.425,0.5,133.2125,data/persona_vectors/Olmo-3-1025-7B/stage1-step9000/evil_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/stage1-step5000/stage1-step9000/steering_results_character_to_character_norm_calibrated.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step5000_norms.csv
stage1-step9000,stage1-step7000,16,237.21875,0.5,118.609375,data/persona_vectors/Olmo-3-1025-7B/stage1-step9000/evil_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/stage1-step7000/stage1-step9000/steering_results_character_to_character_norm_calibrated.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step7000_norms.csv
stage1-step9000,stage1-step9000,16,214.49375,0.5,107.246875,data/persona_vectors/Olmo-3-1025-7B/stage1-step9000/evil_character_neutral_q_response_avg_diff.pt,data/model_responses/eval/Olmo-3-1025-7B/stage1-step9000/stage1-step9000/steering_results_character_to_character_norm_calibrated.csv,results/Olmo-3-1025-7B/activation_norms/stage1-step9000_norms.csv
