layer,mean_l2,std_l2,count
0,3.06015625,1.2617153637725462,20
1,3.38828125,1.4060961287345142,20
2,3.616015625,1.514338361333893,20
3,4.35625,1.6850358165703772,20
4,4.923046875,1.5732564812549004,20
5,5.63515625,1.5145798184206714,20
6,6.5640625,1.4066136682539205,20
7,7.8703125,1.3613052029096018,20
8,8.7828125,1.4085562685667699,20
9,9.53125,1.3057116115360248,20
10,10.5375,1.3722130847649003,20
11,12.203125,1.0611894490970941,20
12,12.89375,1.047336651941481,20
13,13.609375,1.2857200985731692,20
14,14.3625,1.359227721906807,20
15,15.940625,1.3395246066702116,20
16,17.346875,1.3051094003473434,20
17,18.9875,1.5385159245194597,20
18,21.55,1.9451060382405867,20
19,24.4125,2.0916874168957267,20
20,26.5875,2.1491640816838817,20
21,28.95625,2.196330391243517,20
22,31.51875,2.105526581997933,20
23,34.70625,2.1463177042321155,20
24,37.9875,2.3203919388758814,20
25,40.6625,2.449840556036205,20
26,43.675,2.6304704902355724,20
27,46.575,3.062984655528009,20
28,50.25,3.4058772731852667,20
29,53.4,3.7711072644516563,20
30,58.2,3.717021657187358,20
31,65.3,4.3204455788727545,20
32,91.95,2.161596632121863,20
